Time,ID,AccRaw, AccRawY, AccRawZ,GyoRawX, GyoRawY, GyoRawZ,MagRawX, MagRawY, MagRawZ,Pitch, Roll, Yaw,Pressure
22-36-29.070,0,-3,23,980,-24,-12,-6,0,0,0,-0.12,-1.2,324.8,0
22-36-29.071,0,-3,19,980,-12,-24,-24,0,0,0,-0.13,-1.21,324.8,0
22-36-29.071,0,-3,23,980,6,-24,18,0,0,0,-0.13,-1.21,324.8,0
22-36-29.071,0,-3,23,980,-42,-18,-18,0,0,0,-0.13,-1.22,324.8,0
22-36-29.071,0,0,23,980,-12,-30,6,0,0,0,-0.13,-1.22,324.8,0
22-36-29.071,0,-3,19,980,-12,-18,12,0,0,0,-0.13,-1.23,324.8,0
22-36-29.071,0,0,19,980,-18,-30,-6,0,0,0,-0.13,-1.24,324.8,0
22-36-29.071,0,-3,19,976,-6,-24,24,0,0,0,-0.13,-1.24,324.8,0
22-36-29.073,0,-3,19,980,-24,-18,-24,0,0,0,-0.13,-1.24,324.8,0
22-36-29.073,0,-3,19,980,-36,-6,-18,0,0,0,-0.13,-1.23,324.8,0
22-36-29.073,0,-3,19,980,0,0,-12,0,0,0,-0.13,-1.23,324.8,0
22-36-29.073,0,0,19,980,-6,6,6,0,0,0,-0.13,-1.23,324.8,0
22-36-29.073,0,-3,19,980,-18,-12,-18,0,0,0,-0.13,-1.22,324.8,0
22-36-29.073,0,-3,19,980,-12,-24,0,0,0,0,-0.12,-1.22,324.8,0
22-36-29.073,0,0,19,980,-18,-12,-6,0,0,0,-0.12,-1.22,324.8,0
22-36-29.073,0,0,19,980,12,-12,-6,0,0,0,-0.12,-1.22,324.8,0
22-36-29.073,0,-3,19,980,0,-18,-36,0,0,0,-0.12,-1.22,324.8,0
22-36-29.073,0,-3,19,980,-12,-42,12,0,0,0,-0.12,-1.22,324.8,0
22-36-29.073,0,-3,19,980,-36,-36,18,0,0,0,-0.12,-1.22,324.8,0
22-36-29.073,0,-3,19,980,-12,-18,6,0,0,0,-0.12,-1.22,324.8,0
22-36-29.073,0,-3,23,976,-12,-24,12,0,0,0,-0.12,-1.22,324.8,0
22-36-29.073,0,-3,19,984,18,-6,-12,0,0,0,-0.12,-1.22,324.8,0
22-36-29.073,0,-3,19,980,-36,-6,18,0,0,0,-0.12,-1.22,324.8,0
22-36-29.073,0,-3,19,984,-30,-24,-12,0,0,0,-0.13,-1.21,324.8,0
22-36-29.073,0,0,19,980,6,-12,12,0,0,0,-0.13,-1.21,324.8,0
22-36-29.073,0,-3,19,980,-30,-18,6,0,0,0,-0.13,-1.2,324.8,0
22-36-29.073,0,-3,19,980,6,-24,-6,0,0,0,-0.14,-1.2,324.8,0
22-36-29.073,0,0,23,980,-36,-6,0,0,0,0,-0.14,-1.19,324.8,0
22-36-29.073,0,0,19,976,-18,-18,0,0,0,0,-0.14,-1.19,324.8,0
22-36-29.073,0,0,19,980,-6,-30,0,0,0,0,-0.14,-1.19,324.8,0
22-36-29.073,0,-3,19,980,-18,-6,6,0,0,0,-0.14,-1.2,324.8,0
22-36-29.073,0,0,19,976,12,-12,6,0,0,0,-0.14,-1.2,324.8,0
22-36-29.073,0,-3,19,980,-12,-6,18,0,0,0,-0.14,-1.19,324.8,0
22-36-29.074,0,-3,19,976,-6,-24,-6,0,0,0,-0.13,-1.19,324.8,0
22-36-29.074,0,0,19,980,-6,-36,-6,0,0,0,-0.13,-1.19,324.8,0
22-36-29.074,0,-3,19,972,-30,0,-6,0,0,0,-0.13,-1.19,324.8,0
22-36-29.074,0,0,23,976,0,-24,-12,0,0,0,-0.13,-1.19,324.8,0
22-36-29.074,0,-3,23,980,-6,-18,6,0,0,0,-0.13,-1.2,324.8,0
22-36-29.074,0,0,23,980,-6,-18,18,0,0,0,-0.13,-1.2,324.8,0
22-36-29.074,0,0,19,976,-18,-18,-12,0,0,0,-0.13,-1.21,324.8,0
22-36-29.074,0,-3,19,980,0,-6,6,0,0,0,-0.13,-1.22,324.8,0
22-36-29.074,0,-3,23,972,18,-24,36,0,0,0,-0.13,-1.22,324.8,0
22-36-29.074,0,0,23,980,-18,-24,0,0,0,0,-0.13,-1.23,324.8,0
22-36-29.074,0,0,23,980,-12,-18,-6,0,0,0,-0.14,-1.24,324.8,0
22-36-29.074,0,0,19,980,-24,-24,6,0,0,0,-0.13,-1.25,324.8,0
22-36-29.074,0,-3,19,976,0,-12,18,0,0,0,-0.13,-1.25,324.8,0
22-36-29.074,0,0,23,980,-12,-12,12,0,0,0,-0.12,-1.26,324.8,0
22-36-29.074,0,0,23,980,-24,-6,-6,0,0,0,-0.12,-1.26,324.8,0
22-36-29.074,0,0,19,976,-6,-12,6,0,0,0,-0.11,-1.26,324.8,0
22-36-29.074,0,-3,19,976,0,-30,-12,0,0,0,-0.1,-1.25,324.8,0
22-36-29.074,0,0,19,980,12,-42,-12,0,0,0,-0.1,-1.25,324.8,0
22-36-29.074,0,-3,23,976,18,-30,24,0,0,0,-0.1,-1.25,324.8,0
22-36-29.074,0,-3,19,984,-6,-18,0,0,0,0,-0.09,-1.24,324.8,0
22-36-29.074,0,0,19,980,-24,-24,12,0,0,0,-0.09,-1.24,324.8,0
22-36-29.074,0,0,19,980,-36,-24,-6,0,0,0,-0.09,-1.24,324.8,0
22-36-29.074,0,0,23,980,0,-24,18,0,0,0,-0.09,-1.24,324.8,0
22-36-29.074,0,0,23,980,-12,12,24,0,0,0,-0.1,-1.24,324.8,0
22-36-29.074,0,0,19,980,-18,-18,30,0,0,0,-0.1,-1.24,324.8,0
22-36-29.074,0,-3,19,976,-30,-24,-12,0,0,0,-0.1,-1.24,324.8,0
22-36-29.074,0,0,23,980,-6,-24,-6,0,0,0,-0.1,-1.24,324.8,0
