Time,ID,AccRawX, AccRawY, AccRawZ,GyoRawX, GyoRawY, GyoRawZ,MagRawX, MagRawY, MagRawZ,Pitch, Roll, Yaw,Test8F[0], Test8F[1], Test8F[2], Test8F[3], Test8F[4], Test8F[5], Test8F[6], Test8F[7]
16-10-58.523,7,-49,-157,-1006,-12,89,-44,243,123,-90,-1.38,8.98,-23.7,0,0,-52.9417,0.01676889,1,0,42.82895,0.01000773
16-10-58.544,7,-47,-154,-1006,-7,95,-46,242,118,-90,-1.18,8.95,-23.8,0,0,-53.10955,0.01843163,1,0,42.3917,0.0100105
16-10-58.562,7,-42,-154,-987,13,115,-49,239,120,-91,-0.96,8.96,-23.8,0,0,-52.94632,0.009495122,1,0,42.70998,0.01001328
16-10-58.584,7,-39,-154,-988,-18,151,-62,234,124,-86,-0.69,8.96,-23.9,0,0,-53.38293,0.01238645,1,0,42.38689,0.01001606
16-10-58.603,7,-43,-154,-991,-31,131,-30,234,120,-87,-0.42,8.91,-24,0,0,-53.31469,0.004125814,1,0,42.43625,0.01001884
16-10-58.623,7,-48,-154,-989,-15,75,1,234,121,-86,-0.23,8.85,-24,0,0,-53.09607,0.006065115,1,0,42.65598,0.01002161
16-10-58.644,7,-39,-169,-995,-36,106,-19,231,117,-86,-0.1,8.82,-24,0,0,-53.54676,0.006595232,1,0,42.44556,0.01002439
16-10-58.665,7,-7,-186,-1030,-86,231,-106,232,118,-82,0.25,8.69,-24.1,0,0,-53.30905,0.02999379,1,0,42.77726,0.01002717
16-10-58.683,7,-13,-182,-1044,-197,351,-113,227,112,-78,0.87,8.42,-24.2,0,0,-53.80077,0.04340523,1,0,42.63089,0.01002994
16-10-58.703,7,-22,-164,-1034,-277,332,-86,220,112,-72,1.6,7.93,-24.3,0,0,-53.98561,0.01771012,1,0,42.79552,0.01003272
16-10-58.725,7,-16,-151,-1011,-309,309,-21,221,110,-72,2.24,7.33,-24.3,0,0,-53.1758,0.02430324,1,0,42.75762,0.0100355
16-10-58.744,7,25,-128,-975,-233,336,-89,210,106,-67,2.84,6.77,-24.4,0,0,-53.94973,0.04024637,1,0,42.57341,0.01003828
16-10-58.763,7,41,-112,-959,-150,291,-101,207,108,-61,3.52,6.41,-24.5,0,0,-53.81712,0.05845773,1,0,43.14354,0.01004105
16-10-58.785,7,43,-103,-970,-97,276,-107,203,104,-62,4.08,6.15,-24.7,0,0,-53.70641,0.02621968,1,0,42.70599,0.01004383
16-10-58.805,7,36,-119,-1000,-93,183,-59,198,102,-62,4.55,5.97,-24.8,0,0,-53.7779,0.01735966,1,0,42.51315,0.01004661
16-10-58.823,7,73,-109,-1009,-135,315,-130,197,105,-60,5.05,5.72,-24.9,0,0,-53.25869,0.02995274,1,0,42.74149,0.01004939
16-10-58.845,7,98,-108,-998,-138,245,-174,189,103,-60,5.64,5.43,-25.2,0,0,-53.57244,0.03659274,1,0,42.43666,0.01005216
