Time,ID,AccRaw, AccRawY, AccRawZ,GyoRawX, GyoRawY, GyoRawZ,GyoCalibratedX, GyoCalibratedY, GyoCalibratedZ,Pitch, Roll, Yaw,Q(w), Q(x), Q(y), Q(z),Pressure
2018/3/12 23:10:25 524,0,30,-2,990,15,-28,21,9,1,-3,-1.75,-0.25,4.9,0.9989627,-0.001582369,-0.0153719,0.04283489,0
2018/3/12 23:10:25 534,0,30,-3,990,22,-33,28,16,-3,3,-1.75,-0.25,4.9,0.9989626,-0.001534152,-0.01537285,0.04283771,0
2018/3/12 23:10:25 534,0,30,-5,990,19,-33,25,13,-3,0,-1.75,-0.25,4.9,0.9989623,-0.001538145,-0.01537883,0.04284274,0
2018/3/12 23:10:25 534,0,30,-5,990,15,-27,18,9,3,-6,-1.75,-0.25,4.9,0.9989625,-0.001597014,-0.01537705,0.04283496,0
2018/3/12 23:10:25 536,0,31,-4,989,19,-25,20,13,5,-4,-1.75,-0.26,4.9,0.9989626,-0.001621097,-0.01539516,0.04282606,0
2018/3/12 23:10:25 538,0,31,-4,989,19,-25,27,13,4,2,-1.75,-0.26,4.9,0.998962,-0.001614596,-0.01543173,0.04282738,0
2018/3/12 23:10:25 550,0,29,-4,990,24,-28,30,18,2,5,-1.75,-0.25,4.9,0.9989625,-0.001610034,-0.01537333,0.04283641,0
2018/3/12 23:10:25 564,0,29,-5,988,25,-28,25,19,1,0,-1.74,-0.26,4.9,0.9989629,-0.001621237,-0.01532717,0.04284184,0
2018/3/12 23:10:25 578,0,29,-5,988,21,-28,23,15,1,-1,-1.74,-0.26,4.9,0.9989635,-0.001655412,-0.01528907,0.04284141,0
2018/3/12 23:10:25 601,0,29,-3,989,20,-32,26,14,-1,1,-1.73,-0.25,4.9,0.9989641,-0.001603142,-0.01525072,0.04284293,0
2018/3/12 23:10:25 631,0,29,-3,989,19,-36,31,12,-6,6,-1.73,-0.25,4.9,0.9989642,-0.00155617,-0.01522276,0.04285246,0
2018/3/12 23:10:25 641,0,29,-5,989,15,-32,29,9,-2,4,-1.73,-0.25,4.9,0.998964,-0.001614265,-0.01520044,0.04286337,0
2018/3/12 23:10:25 659,0,30,-6,989,16,-30,26,10,0,1,-1.73,-0.26,4.9,0.9989637,-0.001689657,-0.01519995,0.04286917,0
2018/3/12 23:10:25 677,0,30,-6,989,18,-29,23,12,0,-1,-1.73,-0.27,4.9,0.9989632,-0.001774387,-0.01521967,0.04286985,0
2018/3/12 23:10:25 704,0,29,-3,989,10,-28,22,4,1,-2,-1.73,-0.27,4.9,0.9989639,-0.001722686,-0.01518529,0.04286566,0
2018/3/12 23:10:25 720,0,30,-3,991,13,-32,27,7,-1,2,-1.72,-0.26,4.9,0.9989642,-0.001676595,-0.01518088,0.0428674,0
2018/3/12 23:10:25 743,0,30,-3,991,25,-30,27,19,0,2,-1.73,-0.25,4.9,0.9989637,-0.001613382,-0.01519599,0.04287276,0
2018/3/12 23:10:25 759,0,30,-5,988,25,-28,24,19,1,0,-1.73,-0.25,4.9,0.9989635,-0.001597449,-0.01521079,0.04287302,0
2018/3/12 23:10:25 779,0,30,-5,988,22,-31,25,16,0,0,-1.73,-0.26,4.9,0.9989629,-0.001630639,-0.01522788,0.04287515,0
2018/3/12 23:10:25 799,0,30,-6,989,24,-35,27,18,-4,2,-1.73,-0.27,4.9,0.9989622,-0.001713735,-0.01525412,0.04288078,0
2018/3/12 23:10:25 833,0,30,-3,989,19,-32,25,13,-2,0,-1.74,-0.27,4.9,0.9989619,-0.001721578,-0.01527314,0.04288445,0
2018/3/12 23:10:25 845,0,30,-3,989,16,-32,26,10,-2,1,-1.74,-0.26,4.9,0.9989617,-0.001665652,-0.01528493,0.04288628,0
2018/3/12 23:10:25 861,0,30,-3,990,20,-27,25,14,3,0,-1.74,-0.25,4.9,0.9989616,-0.001611315,-0.01528999,0.04288826,0
2018/3/12 23:10:25 879,0,30,-3,990,17,-25,25,11,5,0,-1.74,-0.25,4.9,0.9989617,-0.001562474,-0.01528645,0.04288894,0
2018/3/12 23:10:25 899,0,31,-5,990,15,-28,28,9,2,3,-1.74,-0.26,4.9,0.9989604,-0.00161855,-0.01534016,0.0428956,0
2018/3/12 23:10:25 923,0,31,-4,989,16,-29,27,10,0,2,-1.75,-0.26,4.9,0.9989594,-0.001643709,-0.0153916,0.04290116,0
2018/3/12 23:10:25 939,0,31,-4,989,20,-31,28,14,0,3,-1.75,-0.26,4.9,0.9989585,-0.001636379,-0.01543783,0.04290707,0
2018/3/12 23:10:25 959,0,29,-3,991,19,-32,25,13,-2,0,-1.75,-0.25,4.9,0.9989592,-0.001585378,-0.01538416,0.04290864,0
2018/3/12 23:10:25 980,0,29,-5,990,17,-32,26,11,-1,1,-1.74,-0.25,4.9,0.9989598,-0.001592479,-0.01533757,0.04291162,0
2018/3/12 23:10:25 999,0,29,-5,990,16,-31,26,10,0,1,-1.74,-0.26,4.9,0.9989601,-0.001645538,-0.01529608,0.04291722,0
2018/3/12 23:10:26 109,0,30,-6,990,11,-28,25,5,1,0,-1.74,-0.27,4.9,0.9989597,-0.001747684,-0.01530677,0.0429199,0
2018/3/12 23:10:26 109,0,30,-6,990,11,-29,25,5,0,0,-1.74,-0.28,4.9,0.9989593,-0.001842062,-0.01531571,0.042923,0
2018/3/12 23:10:26 111,0,31,-4,989,16,-32,24,10,-2,0,-1.75,-0.28,4.9,0.9989584,-0.001822605,-0.01537232,0.04292254,0
2018/3/12 23:10:26 113,0,31,-4,990,22,-35,28,16,-5,3,-1.75,-0.28,4.9,0.9989575,-0.00179739,-0.01542845,0.04292626,0
2018/3/12 23:10:26 125,0,31,-4,990,28,-34,28,22,-3,3,-1.76,-0.27,4.9,0.9989565,-0.001761437,-0.01547621,0.04293421,0
2018/3/12 23:10:26 182,0,30,-4,988,27,-30,25,21,0,0,-1.76,-0.27,4.9,0.9989565,-0.001730767,-0.01547086,0.04293773,0
2018/3/12 23:10:26 184,0,30,-4,991,23,-28,23,17,1,-1,-1.76,-0.27,4.9,0.9989567,-0.00170898,-0.01546133,0.04293654,0
2018/3/12 23:10:26 186,0,30,-4,991,24,-26,25,18,3,0,-1.75,-0.26,4.9,0.998957,-0.001689565,-0.01544376,0.04293667,0
2018/3/12 23:10:26 194,0,30,-4,989,27,-26,25,21,3,0,-1.75,-0.26,4.9,0.9989572,-0.001668031,-0.01543015,0.04293893,0
2018/3/12 23:10:26 202,0,30,-4,989,19,-28,25,12,1,0,-1.75,-0.26,4.9,0.9989572,-0.001656885,-0.01542136,0.04294103,0
2018/3/12 23:10:26 223,0,31,-4,990,19,-28,25,12,1,0,-1.76,-0.26,4.9,0.9989566,-0.001651117,-0.01546272,0.04294161,0
2018/3/12 23:10:26 239,0,30,-4,987,21,-33,25,15,-3,0,-1.76,-0.26,4.9,0.9989562,-0.001640557,-0.01548299,0.04294233,0
2018/3/12 23:10:26 259,0,30,-4,987,15,-32,22,9,-2,-2,-1.76,-0.26,4.9,0.9989564,-0.001635224,-0.01548223,0.04294034,0
2018/3/12 23:10:26 279,0,30,-4,990,12,-26,22,6,3,-2,-1.76,-0.26,4.9,0.9989568,-0.001643483,-0.01546941,0.04293561,0
2018/3/12 23:10:26 297,0,30,-4,990,19,-22,22,12,7,-2,-1.76,-0.26,4.9,0.9989573,-0.001641806,-0.01544805,0.04293098,0
2018/3/12 23:10:26 319,0,28,-5,989,17,-27,23,11,3,-1,-1.74,-0.26,4.9,0.9989588,-0.001688976,-0.01534415,0.04292939,0
2018/3/12 23:10:26 339,0,29,-4,991,8,-35,23,2,-4,-1,-1.74,-0.27,4.9,0.9989598,-0.001720433,-0.01528353,0.04292773,0
2018/3/12 23:10:26 359,0,29,-4,991,12,-35,26,6,-4,1,-1.73,-0.27,4.9,0.9989603,-0.001722913,-0.01525044,0.04292958,0
2018/3/12 23:10:26 379,0,30,-4,989,15,-29,25,9,0,0,-1.73,-0.27,4.9,0.9989599,-0.001717594,-0.01526487,0.0429334,0
2018/3/12 23:10:26 399,0,29,-4,989,15,-30,24,9,0,0,-1.73,-0.27,4.9,0.9989601,-0.001715086,-0.0152522,0.04293263,0
2018/3/12 23:10:26 419,0,29,-4,989,19,-32,28,12,-2,3,-1.73,-0.27,4.9,0.9989604,-0.001706631,-0.01522063,0.04293799,0
