Time,GyoCalibratedX, GyoCalibratedY, GyoCalibratedZ,MagCalibratedX, MagCalibratedY, MagCalibratedZ
15-12-09.836,1,3,0,137,-14,-214
15-12-09.848,0,3,2,138,-14,-210
15-12-09.856,-1,0,-2,138,-13,-215
15-12-09.868,1,-2,4,137,-14,-213
15-12-09.878,-1,-3,-3,138,-13,-213
15-12-09.886,-2,-3,-2,137,-13,-213
15-12-09.896,-1,3,1,139,-14,-213
15-12-09.906,1,1,0,137,-13,-211
15-12-09.916,0,0,0,136,-14,-213
15-12-09.928,0,0,-1,139,-13,-215
15-12-09.936,0,0,0,138,-13,-215
15-12-09.946,1,6,-2,139,-13,-214
15-12-09.956,1,0,-4,138,-13,-212
15-12-09.966,2,-2,2,137,-14,-214
15-12-09.976,1,0,1,139,-13,-214
15-12-09.988,-1,0,0,137,-14,-213
15-12-09.996,-1,-2,0,139,-13,-214
15-12-10.006,1,-1,0,137,-14,-213
15-12-10.016,0,-1,0,137,-13,-215
15-12-10.028,2,0,0,138,-14,-213
15-12-10.038,-1,-2,0,137,-13,-213
15-12-10.046,0,0,-2,137,-13,-213
15-12-10.056,-1,-1,-1,138,-14,-213
15-12-10.065,0,3,1,138,-14,-213
15-12-10.076,1,0,0,137,-14,-214
15-12-10.088,-1,0,0,139,-13,-211
15-12-10.096,-1,0,0,137,-14,-212
15-12-10.106,0,2,0,138,-13,-213
15-12-10.115,3,6,0,138,-13,-211
15-12-10.127,-1,5,0,137,-14,-215
15-12-10.136,1,0,4,137,-15,-212
15-12-10.145,0,-2,1,138,-14,-212
15-12-10.157,0,1,-1,138,-14,-213
15-12-10.167,-1,1,1,138,-14,-212
15-12-10.176,-1,-2,0,138,-14,-212
15-12-10.188,-1,0,-4,139,-13,-213
15-12-10.196,-4,-1,0,138,-13,-212
15-12-10.206,0,0,4,138,-14,-213
15-12-10.216,1,0,1,137,-14,-213
15-12-10.226,0,-3,0,138,-13,-214
15-12-10.236,-1,0,-2,138,-13,-213
15-12-10.246,-4,5,-2,138,-14,-215
15-12-10.256,0,-1,2,137,-14,-213
15-12-10.265,2,2,0,138,-13,-213
15-12-10.276,1,0,0,139,-14,-214
15-12-10.288,1,2,-2,138,-14,-212
15-12-10.296,-1,0,0,138,-13,-215
15-12-10.306,0,2,0,138,-13,-213
15-12-10.316,-3,0,-1,138,-14,-213
15-12-10.326,2,0,-1,137,-13,-213
15-12-10.335,1,1,0,138,-14,-216
15-12-10.347,1,0,0,138,-14,-214
15-12-10.357,1,1,-1,137,-13,-213
15-12-10.367,0,4,1,138,-14,-210
15-12-10.377,1,-4,1,137,-14,-213
15-12-10.387,1,-1,2,137,-13,-210
15-12-10.396,0,3,-3,137,-13,-213
15-12-10.405,0,2,-1,138,-13,-211
15-12-10.416,0,0,4,138,-14,-211
15-12-10.425,0,2,0,139,-14,-213
15-12-10.436,-1,3,0,139,-14,-212
15-12-10.446,0,2,1,139,-13,-213
15-12-10.455,0,0,-2,138,-14,-212
15-12-10.466,0,-1,2,138,-13,-213
15-12-10.476,-1,0,1,138,-14,-213
15-12-10.485,1,0,4,138,-14,-211
15-12-10.496,2,2,0,138,-14,-213
15-12-10.506,0,0,2,137,-14,-210
15-12-10.516,2,1,0,137,-14,-212
15-12-10.526,0,0,0,138,-14,-213
15-12-10.534,-2,0,1,139,-13,-213
15-12-10.546,0,-2,-3,139,-14,-214
15-12-10.556,0,3,-5,138,-13,-215
15-12-10.564,2,-1,-1,142,-13,-214
15-12-10.576,3,-2,1,137,-14,-214
15-12-10.586,0,1,-1,139,-14,-213
15-12-10.596,1,-2,0,137,-14,-213
15-12-10.606,0,-3,-4,138,-14,-214
15-12-10.615,-4,0,-3,139,-14,-216
15-12-10.627,-1,0,4,137,-14,-214
15-12-10.637,3,0,2,138,-14,-213
15-12-10.647,-1,0,0,139,-13,-213
15-12-10.656,1,-3,0,139,-13,-213
15-12-10.666,1,0,1,135,-14,-214
15-12-10.676,-1,4,2,139,-13,-214
15-12-10.686,1,2,0,137,-14,-214
15-12-10.696,1,0,-3,137,-14,-213
15-12-10.705,-3,1,2,138,-13,-213
15-12-10.717,0,0,2,138,-13,-212
15-12-10.727,0,0,0,137,-14,-213
15-12-10.737,6,3,0,137,-14,-211
15-12-10.746,-1,3,0,139,-14,-214
15-12-10.757,0,-1,1,138,-14,-214
15-12-10.767,-1,0,0,139,-15,-211
15-12-10.777,1,4,-1,137,-14,-214
15-12-10.786,-2,0,4,138,-14,-213
15-12-10.796,0,2,0,137,-14,-213
15-12-10.805,-3,0,0,138,-14,-212
15-12-10.817,0,1,1,137,-14,-213
15-12-10.827,1,0,-2,137,-14,-211
15-12-10.837,0,0,0,137,-14,-213
15-12-10.847,-1,-1,2,138,-14,-213
15-12-10.919,-1,2,1,138,-14,-213
15-12-10.919,1,0,0,138,-15,-213
15-12-10.919,-2,4,0,138,-15,-210
15-12-10.919,-3,0,0,138,-14,-214
15-12-10.921,1,-4,0,137,-14,-214
15-12-10.921,1,2,-1,137,-14,-211
15-12-10.923,-1,2,0,138,-14,-216
15-12-10.929,-1,-3,-1,138,-14,-213
15-12-10.937,-4,0,0,138,-14,-213
15-12-10.947,0,0,2,137,-14,-214
15-12-10.957,2,0,1,138,-15,-215
