HI81,pc_counter,gps_wn,gps_tow,ins_status,utc,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,temperature,pressure,od_vel,roll,pitch,yaw,quat_w,quat_x,quat_y,quat_z,solq_pos,solq_heading,nv,nv_heading,diff_age,pdop,hdop,undulation,ins_lat,ins_lon,ins_msl,ins_vel_e,ins_vel_n,ins_vel_u,acc_e,acc_n,acc_u,heave,surge,sway,heave_period,gnss_ant_status
HI81,608342,6579,23296,1,4294880878,-0.01395085687,0.0084701631,0.9994792459,0,0,0,-18.584853,-17.39469,-7.873386,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608343,6579,23296,1,4294880878,-0.01444910176,0.007473673324,0.9984827561,0,0.1145915604,0.05729578018,-18.828989,-17.638826,-7.415631,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608344,6579,23296,1,4294880878,-0.01295436709,0.007473673324,1.001472225,0,0,0,-19.317261,-17.638826,-7.415631,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608345,6579,23296,1,4294880878,-0.01494734665,0.007473673324,0.9949950419,0,0.1145915604,0,-18.706921,-17.882962,-7.446148,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608346,6579,23296,1,4294880878,-0.01494734665,0.006975428436,1.001472225,0,0,0,-18.890023,-17.882962,-7.659767,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608347,6579,23296,1,4294880878,-0.01494734665,0.0084701631,0.9979845112,0.05729578018,0.05729578018,0,-18.554336,-17.638826,-7.140978,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608348,6579,23296,1,4294880878,-0.01494734665,0.0084701631,1.000973981,0,0,0,-18.462785,-17.638826,-7.781835,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608349,6579,23296,1,4294880878,-0.01245612221,0.007473673324,0.9994792459,0,0.1145915604,0,-18.859506,-17.760894,-7.781835,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608350,6579,23296,1,4294880878,-0.01494734665,0.008968407989,0.9994792459,0,0.1145915604,0.05729578018,-19.22571,-17.69986,-7.62925,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608351,6579,23296,1,4294880878,-0.01195787732,0.007971918212,1.000973981,0,-0.1145915604,0,-19.073125,-17.69986,-7.812352,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608352,6579,23296,1,4294880878,-0.01444910176,0.0084701631,0.998981001,0,0.2291831207,0,-18.737438,-17.364173,-7.903903,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
