HI81,pc_counter,gps_wn,gps_tow,ins_status,utc,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,temperature,pressure,od_vel,roll,pitch,yaw,quat_w,quat_x,quat_y,quat_z,solq_pos,solq_heading,nv,nv_heading,diff_age,pdop,hdop,undulation,ins_lat,ins_lon,ins_msl,ins_vel_e,ins_vel_n,ins_vel_u,acc_e,acc_n,acc_u,heave,surge,sway,heave_period,gnss_ant_status
HI81,109199,6579,23296,1,4294880878,0,-0.001992979553,1.001472225,0,0.05729578018,0,-12.481453,-5.065822,-14.526092,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109200,6579,23296,1,4294880878,0,-0.001494734665,0.9974862663,0,0.05729578018,0,-12.542487,-5.340475,-14.64816,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109201,6579,23296,1,4294880878,0.0004982448883,-0.001494734665,1.00197047,0,0,0,-12.359385,-4.943754,-14.220922,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109202,6579,23296,1,4294880878,0,-0.0009964897765,0.9994792459,0,0.05729578018,0,-12.450936,-4.913237,-15.075398,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109203,6579,23296,1,4294880878,-0.001494734665,-0.00298946933,0.998981001,0,0.1718873405,0,-12.847657,-4.424965,-14.617643,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109204,6579,23296,1,4294880878,-0.0004982448883,-0.002491224441,1.001472225,0,-0.05729578018,0,-12.481453,-4.913237,-14.495575,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109205,6579,23296,1,4294880878,0,-0.0009964897765,0.998981001,0,0,0,-12.786623,-4.943754,-14.770228,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109206,6579,23296,1,4294880878,0.0004982448883,-0.003487714218,1.000973981,0,0,0,-12.847657,-4.57755,-14.404024,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109207,6579,23296,1,4294880878,-0.001992979553,-0.00298946933,0.9984827561,0,0.1145915604,0,-12.695072,-4.57755,-14.831262,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109208,6579,23296,1,4294880878,0.0009964897765,-0.002491224441,1.001472225,0.05729578018,0,0,-12.847657,-4.638584,-14.770228,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109209,6579,23296,1,4294880878,-0.001992979553,-0.001494734665,0.9959915316,0,0.05729578018,0,-12.756106,-5.065822,-14.526092,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109210,6579,23296,1,4294880878,0.0004982448883,-0.001494734665,1.000475736,0,0,0,-13.091793,-5.035305,-14.434541,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109211,6579,23296,1,4294880878,-0.0004982448883,-0.00298946933,0.9984827561,0.05729578018,0,0,-12.664555,-4.913237,-14.404024,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
