Time,TimeStamp, AccX, AccY, AccZ, GyrX, GyrY, GyrZ, MagX, MagY, MagZ, Roll, Pitch, Yaw, Qw, Qx, Qy, Qz

17-53-38.760,3728, 0.007, -0.013, 1.000, -0.06, -0.10, -0.06, -11.058, 23.100, -10.750, -0.46, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.762,3730, 0.006, -0.014, 1.001, -0.09, -0.08, -0.03, -11.058, 23.100, -10.750, -0.46, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.763,3733, 0.007, -0.012, 1.003, -0.07, -0.05, 0.01, -11.375, 23.433, -10.558, -0.46, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.767,3735, 0.006, -0.013, 0.999, 0.00, -0.05, 0.05, -11.375, 23.433, -10.558, -0.46, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.769,3738, 0.005, -0.014, 1.001, 0.05, -0.02, 0.07, -11.375, 23.433, -10.558, -0.46, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.771,3740, 0.010, -0.013, 1.000, 0.02, 0.01, 0.02, -11.375, 23.433, -10.558, -0.46, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.773,3743, 0.010, -0.014, 1.000, 0.03, 0.01, -0.01, -11.142, 23.500, -10.558, -0.46, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.775,3745, 0.006, -0.014, 1.002, -0.01, -0.01, -0.03, -11.142, 23.500, -10.558, -0.46, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.779,3748, 0.007, -0.016, 0.999, -0.03, 0.01, -0.03, -11.142, 23.500, -10.558, -0.46, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.781,3750, 0.010, -0.013, 1.001, -0.07, 0.01, -0.01, -11.142, 23.500, -10.558, -0.46, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.783,3753, 0.007, -0.014, 1.001, -0.07, 0.02, 0.01, -11.458, 23.308, -11.058, -0.46, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.787,3755, 0.008, -0.013, 0.998, -0.06, 0.02, -0.01, -11.458, 23.308, -11.058, -0.46, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.789,3758, 0.009, -0.014, 1.002, -0.03, 0.05, -0.04, -11.458, 23.308, -11.058, -0.46, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.791,3760, 0.007, -0.011, 0.997, 0.02, 0.01, -0.01, -11.458, 23.308, -11.058, -0.46, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.793,3763, 0.006, -0.014, 0.998, 0.03, -0.04, 0.04, -11.542, 23.500, -11.017, -0.46, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.797,3765, 0.008, -0.014, 0.998, 0.03, -0.05, 0.08, -11.542, 23.500, -11.017, -0.46, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.799,3768, 0.007, -0.013, 1.002, 0.02, -0.07, 0.04, -11.542, 23.500, -11.017, -0.46, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.801,3770, 0.008, -0.015, 1.001, 0.06, -0.07, 0.01, -11.542, 23.500, -11.017, -0.46, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.803,3773, 0.009, -0.012, 0.996, 0.11, -0.08, -0.01, -11.500, 23.792, -10.917, -0.46, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.807,3775, 0.008, -0.013, 1.003, 0.17, -0.05, -0.01, -11.500, 23.792, -10.917, -0.46, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.809,3778, 0.006, -0.013, 1.000, 0.09, -0.05, -0.01, -11.500, 23.792, -10.917, -0.46, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.811,3780, 0.006, -0.013, 1.002, -0.01, -0.02, -0.04, -11.500, 23.792, -10.917, -0.46, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.813,3783, 0.007, -0.012, 0.999, -0.13, -0.02, -0.04, -11.500, 23.433, -10.792, -0.46, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.817,3785, 0.005, -0.015, 0.999, -0.21, -0.05, -0.01, -11.500, 23.433, -10.792, -0.46, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.819,3788, 0.007, -0.013, 1.000, -0.23, -0.07, 0.05, -11.500, 23.433, -10.792, -0.46, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.821,3790, 0.009, -0.015, 0.996, -0.18, -0.05, 0.04, -11.500, 23.433, -10.792, -0.46, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.823,3793, 0.008, -0.012, 1.000, -0.11, -0.10, 0.07, -11.417, 23.583, -11.183, -0.46, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.827,3795, 0.008, -0.010, 1.001, -0.07, -0.10, 0.04, -11.417, 23.583, -11.183, -0.46, -0.76, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.829,3798, 0.009, -0.015, 1.000, -0.07, -0.10, 0.01, -11.417, 23.583, -11.183, -0.46, -0.76, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.831,3800, 0.011, -0.011, 0.998, -0.01, -0.05, -0.04, -11.417, 23.583, -11.183, -0.46, -0.76, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.833,3803, 0.009, -0.013, 0.996, 0.03, -0.07, -0.06, -11.500, 23.458, -10.750, -0.46, -0.76, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.837,3805, 0.008, -0.015, 1.000, 0.05, -0.01, -0.04, -11.500, 23.458, -10.750, -0.46, -0.76, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.839,3808, 0.005, -0.014, 1.001, 0.06, 0.02, -0.04, -11.500, 23.458, -10.750, -0.47, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
17-53-38.841,3810, 0.007, -0.012, 0.999, 0.03, 0.10, -0.03, -11.500, 23.458, -10.750, -0.47, -0.75, 0.02, 1.000, -0.007, -0.004, 0.000
