Time,TimeStamp, AccX, AccY, AccZ, GyrX, GyrY, GyrZ, MagX, MagY, MagZ, Roll, Pitch, Yaw, Qw, Qx, Qy, Qz

17-58-29.757,2600, 0.013, -0.014, 1.000, -0.11, 0.01, 0.05, -2.475, 34.250, -12.917, -0.65, -0.78, -0.01, 1.000, -0.007, -0.006, 0.000
17-58-29.759,2602, 0.010, -0.015, 1.002, -0.13, -0.02, 0.00, -2.792, 33.767, -13.000, -0.65, -0.78, -0.01, 1.000, -0.007, -0.006, 0.000
17-58-29.763,2605, 0.010, -0.014, 1.002, -0.13, -0.04, -0.01, -2.792, 33.767, -13.000, -0.65, -0.78, -0.01, 1.000, -0.007, -0.006, 0.000
17-58-29.765,2607, 0.010, -0.013, 1.002, -0.13, -0.06, -0.06, -2.792, 33.767, -13.000, -0.65, -0.78, -0.01, 1.000, -0.007, -0.006, 0.000
17-58-29.767,2610, 0.012, -0.012, 1.005, -0.16, -0.02, -0.09, -2.792, 33.767, -13.000, -0.65, -0.78, -0.01, 1.000, -0.007, -0.006, 0.000
17-58-29.769,2612, 0.011, -0.015, 1.005, -0.14, 0.01, -0.12, -2.517, 34.083, -12.833, -0.65, -0.78, -0.01, 1.000, -0.007, -0.006, 0.000
17-58-29.773,2615, 0.010, -0.012, 1.001, -0.11, 0.05, -0.12, -2.517, 34.083, -12.833, -0.65, -0.78, -0.01, 1.000, -0.007, -0.006, 0.000
17-58-29.775,2617, 0.009, -0.014, 1.003, -0.08, 0.10, -0.09, -2.517, 34.083, -12.833, -0.65, -0.78, -0.01, 1.000, -0.007, -0.006, 0.000
17-58-29.777,2620, 0.011, -0.013, 1.000, -0.02, 0.14, -0.01, -2.517, 34.083, -12.833, -0.65, -0.78, -0.01, 1.000, -0.007, -0.006, 0.000
17-58-29.779,2622, 0.010, -0.015, 1.005, 0.01, 0.10, 0.03, -3.000, 34.375, -12.917, -0.65, -0.78, -0.01, 1.000, -0.007, -0.006, 0.000
17-58-29.783,2625, 0.013, -0.011, 1.002, 0.04, 0.08, 0.05, -3.000, 34.375, -12.917, -0.65, -0.78, -0.01, 1.000, -0.007, -0.006, 0.000
17-58-29.785,2627, 0.014, -0.014, 1.002, 0.01, 0.02, 0.03, -3.000, 34.375, -12.917, -0.65, -0.78, -0.01, 1.000, -0.007, -0.006, 0.000
17-58-29.787,2630, 0.012, -0.016, 1.000, 0.02, 0.02, -0.06, -3.000, 34.375, -12.917, -0.65, -0.78, -0.01, 1.000, -0.007, -0.006, 0.000
17-58-29.789,2632, 0.012, -0.014, 1.000, -0.01, 0.00, -0.06, -2.750, 34.417, -12.600, -0.65, -0.78, -0.01, 1.000, -0.007, -0.006, 0.000
17-58-29.791,2635, 0.009, -0.012, 1.004, -0.01, 0.02, -0.04, -2.750, 34.417, -12.600, -0.65, -0.78, -0.01, 1.000, -0.007, -0.006, 0.000
17-58-29.795,2637, 0.010, -0.014, 1.006, -0.04, 0.02, 0.00, -2.750, 34.417, -12.600, -0.65, -0.78, -0.01, 1.000, -0.007, -0.006, 0.000
17-58-29.797,2640, 0.011, -0.012, 1.001, -0.02, -0.03, 0.05, -2.750, 34.417, -12.600, -0.65, -0.78, -0.01, 1.000, -0.007, -0.006, 0.000
17-58-29.799,2642, 0.013, -0.013, 1.002, 0.02, -0.03, 0.06, -2.392, 34.250, -12.433, -0.65, -0.78, -0.01, 1.000, -0.007, -0.006, 0.000
17-58-29.803,2645, 0.011, -0.013, 1.003, 0.04, -0.01, 0.00, -2.392, 34.250, -12.433, -0.65, -0.78, -0.01, 1.000, -0.007, -0.006, 0.000
17-58-29.805,2647, 0.011, -0.013, 1.002, 0.07, 0.05, -0.06, -2.392, 34.250, -12.433, -0.65, -0.78, -0.01, 1.000, -0.007, -0.006, 0.000
17-58-29.807,2650, 0.012, -0.013, 1.003, 0.10, 0.03, -0.10, -2.392, 34.250, -12.433, -0.65, -0.78, -0.01, 1.000, -0.007, -0.006, 0.000
17-58-29.809,2652, 0.009, -0.012, 1.001, 0.05, 0.03, -0.12, -2.683, 34.167, -12.833, -0.65, -0.78, -0.01, 1.000, -0.007, -0.006, 0.000
17-58-29.813,2655, 0.011, -0.013, 1.004, -0.02, 0.05, -0.09, -2.683, 34.167, -12.833, -0.65, -0.78, -0.01, 1.000, -0.007, -0.006, 0.000
